artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,song_popularity,popularity,sentiment,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,audio_mode_0.0,audio_mode_1.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
LEEWOO,0.45,0.408,0.564,0.0,0.178,-4.39,0.034,141.09,0.348,259680.0,33,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
U-Rim,0.78,0.394,0.53,0.0,0.34,-3.568,0.0335,134.668,0.348,205987.0,18,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Jeon Yoodong,0.169,0.69,0.606,0.0435,0.114,-7.611,0.0336,110.003,0.654,312840.0,15,0,-0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Able,0.547,0.718,0.758,0.0,0.116,-3.574,0.0379,93.993,0.503,186701.0,17,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Hong Yaejin,0.843,0.691,0.28,0.0,0.107,-8.445,0.0287,91.946,0.402,280920.0,15,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
lunCHbox,0.349,0.77,0.514,0.0,0.267,-7.3,0.0513,111.956,0.283,156750.0,24,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
RAN,0.837,0.439,0.462,1.42e-06,0.186,-6.006,0.0291,129.377,0.334,183061.0,15,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
PITCHGRIN,0.964,0.458,0.227,9.23e-05,0.404,-12.472,0.0285,155.446,0.486,168857.0,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Geum Nara,0.797,0.488,0.507,0.0,0.23,-3.626,0.0311,135.425,0.15,198816.0,13,0,-0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Norwegian Wood,0.706,0.731,0.463,0.0,0.302,-6.355,0.0272,99.045,0.462,210909.0,18,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
HELLO GLOOM,0.0294,0.693,0.888,5.84e-05,0.065,-4.939,0.0419,125.103,0.546,179680.0,37,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
유니스,0.121,0.54,0.751,0.0,0.0801,-2.651,0.0793,79.792,0.511,187600.0,23,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ecru,0.544,0.619,0.51,0.0107,0.19,-7.033,0.0637,79.945,0.544,197000.0,20,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
