artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,sentiment,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,audio_mode_0.0,audio_mode_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
EXO-K,0.565,0.728,0.714,0.0,0.0544,-3.667,0.0355,131.919,0.785,261224.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
SHINee,0.0259,0.62,0.951,0.0,0.795,-3.231,0.106,110.039,0.357,219973.0,0.0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
TEEN TOP,0.0186,0.695,0.976,0.0,0.11,-3.241,0.103,128.047,0.785,192653.0,0.0,-0.09848484848484848,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
B.A.P,0.0998,0.729,0.793,0.0,0.312,-3.893,0.0413,98.006,0.84,206472.0,0.0,0.13636363636363635,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
100%,0.157,0.708,0.924,0.0,0.351,-4.082,0.117,129.945,0.637,198971.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
MBLAQ,0.0483,0.807,0.599,0.0,0.0759,-6.664,0.107,129.958,0.472,210875.0,0.0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Block B,0.012,0.603,0.906,0.0,0.162,-1.971,0.0927,135.962,0.776,186182.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
SEUNGRI,0.115,0.746,0.712,0.0,0.269,-5.447,0.0347,127.995,0.744,215480.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
IU,0.512,0.636,0.922,0.0,0.0898,-2.131,0.211,118.065,0.371,254250.0,0.0,0.40499999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
BTS,0.0124,0.436,0.869,1.6e-06,0.494,-5.174,0.472,167.766,0.612,221593.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Song Ji Eun,0.61,0.472,0.715,0.0,0.38,-4.316,0.0618,72.398,0.47,192746.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
BTOB,0.0445,0.689,0.936,0.0,0.0675,-2.382,0.083,125.017,0.847,207726.0,0.0,-0.25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
4Minute,0.185,0.738,0.889,0.0,0.0661,-3.019,0.073,115.041,0.914,186776.0,0.0,-0.4000000000000001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
XIA,0.0498,0.661,0.894,8.45e-06,0.103,-3.822,0.0387,129.971,0.729,195699.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
f(x),0.509,0.774,0.819,1.72e-05,0.239,-2.976,0.0383,119.984,0.543,197672.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Dalshabet,0.106,0.667,0.946,0.0,0.355,-1.781,0.114,128.044,0.657,204467.0,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BTS,0.00945,0.754,0.952,6.27e-06,0.189,-5.11,0.153,144.051,0.868,225360.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
SHINHWA,0.0316,0.717,0.789,0.0,0.0978,-3.586,0.076,127.98,0.761,220347.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4Minute,0.37,0.774,0.928,2.46e-06,0.0857,-4.026,0.0425,124.942,0.875,190171.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
BTS,0.0389,0.594,0.914,0.0,0.457,-3.764,0.167,146.885,0.571,209752.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
FIESTAR,0.242,0.795,0.896,5.67e-05,0.0601,-3.058,0.0804,138.018,0.897,208262.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
SHINee,0.0065,0.633,0.92,0.0,0.135,-3.045,0.0685,126.027,0.732,249292.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Chocolat,0.0882,0.771,0.692,0.0,0.232,-3.448,0.0325,116.988,0.906,206341.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
BOYFRIEND,0.00209,0.668,0.944,0.0,0.237,-3.279,0.0397,109.005,0.703,197172.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Rania,0.00847,0.663,0.918,0.0,0.341,-2.147,0.0714,133.023,0.604,188857.0,0.0,-0.16666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
HYOLYN,0.0577,0.718,0.817,0.0,0.0622,-3.651,0.0306,109.952,0.891,197824.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2NE1,0.823,0.625,0.45,0.0,0.111,-5.214,0.0339,130.099,0.262,219302.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SHINee,0.0429,0.724,0.939,0.0,0.304,-0.698,0.0736,124.063,0.732,180165.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
SISTAR19,0.177,0.646,0.804,0.0,0.0886,-4.372,0.0313,145.986,0.69,211069.0,0.0,-0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
LeeHi,0.0446,0.756,0.675,0.0,0.56,-6.619,0.0375,124.975,0.401,222288.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
KARA,0.0547,0.593,0.933,8.82e-06,0.062,-2.854,0.079,93.017,0.751,186044.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Dasoni,0.277,0.657,0.887,0.0,0.0448,-1.458,0.0724,129.935,0.419,209502.0,0.0,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Girls' Generation,0.0342,0.502,0.863,0.0,0.538,-1.273,0.272,97.911,0.527,271326.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
AILEE,0.0346,0.65,0.877,0.0,0.334,-1.918,0.0398,107.878,0.906,194713.0,0.0,0.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Girl's Day,0.135,0.722,0.947,0.0,0.348,-1.378,0.0941,126.989,0.797,195056.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
After School,0.135,0.689,0.851,0.0,0.263,-2.96,0.0594,89.99,0.672,217738.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Girl's Day,0.0606,0.767,0.909,1.43e-06,0.301,-1.18,0.0531,109.958,0.515,212640.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
B.A.P,0.0219,0.58,0.937,0.0136,0.0667,-2.841,0.0905,95.09,0.452,237923.0,0.0,0.375,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9MUSES,0.239,0.714,0.97,0.0,0.65,-2.244,0.102,128.092,0.838,192130.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
G-DRAGON,0.00191,0.665,0.919,0.0,0.0588,-3.211,0.0921,129.961,0.783,224793.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
